"name","dimension","resolution","aspect_ratio","ppi","hz","cpu","gpu","ram","os","price_min","price_max","url"
"Apple MacBook Air 13"" M5","13.6""","2560x1664","20:13","225ppi","60Hz","Apple M5 - 10 Core, 4x Everest Gen4 ""Super"" (4.61GHz) + 6x Sawtooth Gen4 ""Efficiency"" (3.05GHz), TSMC N3P, ARMv9.2-A","Apple 8-Core GPU, Architektur ""G18"", 8C/​128EU/​1024SP","16GB LPDDR5X-9600 Onboard, nicht erweiterbar","macOS 26","€ 1005,38","€ 1309,00","https://geizhals.at/apple-macbook-air-13-m5-mdhe4d-a-z1l6-a3743120.html"
"Apple MacBook Air 13""","13.6""","2560x1664","20:13","225ppi","60Hz","Apple M4 - 10 Core, 4x Everest Gen3 ""Performance"" (4.41GHz) + 6x Sawtooth Gen3 ""Efficiency"" (2.89GHz), TSMC N3E, ARMv9.2-A","Apple 8-Core GPU, Architektur ""G16"", 8C/​128EU/​1024SP","16GB LPDDR5X-7500 Onboard, nicht erweiterbar","macOS 26 via Update","€ 747,00","€ 1155,90","https://geizhals.at/apple-macbook-air-13-mw123d-a-2025-z1cx-a3434077.html"
"Apple MacBook Neo","13""","2408x1509","16:10","219ppi","60Hz","Apple A18 Pro, 2x Everest Gen3 (4.04GHz) + 4x Sawtooth Gen3 (2.42GHz), ARMv9.2-A","Apple 5-Core GPU, Architektur ""G17"", 5C/​80EU/​640SP","8GB Onboard, nicht erweiterbar","macOS 26","€ 607,19","€ 718,73","https://geizhals.at/apple-macbook-neo-mhfa4d-a-a3742642.html"
"Apple MacBook Pro 14.2""","14.2""","3024x1964","3:2","254ppi","120Hz","Apple M5 Pro - 15 Core, 5x Everest Gen4 ""Super"" (4.61GHz) + 10x Everest Gen4 M ""Performance"" (4.38GHz), TSMC N3P, ARMv9.2-A","Apple 16-Core GPU, Architektur ""G18"", 16C/​256EU/​2048SP","24GB LPDDR5X-9600 Onboard, nicht erweiterbar","macOS 26","€ 2116,64","€ 2912,70","https://geizhals.at/apple-macbook-pro-14-2-mgdr4d-a-a3750319.html"
"Apple MacBook Air 13""","13.6""","2560x1664","20:13","225ppi","60Hz","Apple M4 - 10 Core, 4x Everest Gen3 ""Performance"" (4.41GHz) + 6x Sawtooth Gen3 ""Efficiency"" (2.89GHz), TSMC N3E, ARMv9.2-A","Apple 8-Core GPU, Architektur ""G16"", 8C/​128EU/​1024SP","16GB LPDDR5X-7500 Onboard, nicht erweiterbar","macOS 26 via Update","€ 743,20","€ 1021,85","https://geizhals.at/apple-macbook-air-13-mc6t4d-a-2025-z1h7-a3435109.html"
"Apple MacBook Air 13"" M5","13.6""","2560x1664","20:13","225ppi","60Hz","Apple M5 - 10 Core, 4x Everest Gen4 ""Super"" (4.61GHz) + 6x Sawtooth Gen4 ""Efficiency"" (3.05GHz), TSMC N3P, ARMv9.2-A","Apple 8-Core GPU, Architektur ""G18"", 8C/​128EU/​1024SP","16GB LPDDR5X-9600 Onboard, nicht erweiterbar","macOS 26","€ 1005,38","€ 1395,60","https://geizhals.at/apple-macbook-air-13-m5-mdh74d-a-z1l0-a3742382.html"
"Apple MacBook Pro 14.2""","14.2""","3024x1964","3:2","254ppi","120Hz","Apple M5 - 10 Core, 4x Everest Gen4 ""Super"" (4.61GHz) + 6x Sawtooth Gen4 ""Efficiency"" (3.05GHz), TSMC N3P, ARMv9.2-A","Apple 10-Core GPU, Architektur ""G18"", 10C/​160EU/​1280SP","16GB LPDDR5X-9600 Onboard, nicht erweiterbar","macOS 26 via Update","€ 1439,00","€ 2341,80","https://geizhals.at/apple-macbook-pro-14-2-mde04d-a-z1kh-a3629498.html"
"Apple MacBook Air 13""","13.6""","2560x1664","20:13","225ppi","60Hz","Apple M4 - 10 Core, 4x Everest Gen3 ""Performance"" (4.41GHz) + 6x Sawtooth Gen3 ""Efficiency"" (2.89GHz), TSMC N3E, ARMv9.2-A","Apple 10-Core GPU, Architektur ""G16"", 10C/​160EU/​1280SP","16GB LPDDR5X-7500 Onboard, nicht erweiterbar","macOS 26 via Update","€ 941,00","€ 1183,80","https://geizhals.at/apple-macbook-air-13-mw133d-a-2025-z1cx-z1cy-a3434386.html"
"Apple MacBook Air 15""","15.3""","2880x1864","16:10","224ppi","60Hz","Apple M4 - 10 Core, 4x Everest Gen3 ""Performance"" (4.41GHz) + 6x Sawtooth Gen3 ""Efficiency"" (2.89GHz), TSMC N3E, ARMv9.2-A","Apple 10-Core GPU, Architektur ""G16"", 10C/​160EU/​1280SP","16GB LPDDR5X-7500 Onboard, nicht erweiterbar","macOS 26 via Update","€ 1097,00","€ 1535,89","https://geizhals.at/apple-macbook-air-15-mw1m3d-a-2025-z1dg-z1dh-a3437465.html"
"Apple MacBook Pro 16.2""","16.2""","3456x2234","3:2","254ppi","120Hz","Apple M5 Pro - 18 Core, 6x Everest Gen4 ""Super"" (4.61GHz) + 12x Everest Gen4 M ""Performance"" (4.38GHz), TSMC N3P, ARMv9.2-A","Apple 20-Core GPU, Architektur ""G18"", 20C/​320EU/​2560SP","48GB LPDDR5X-9600 Onboard, nicht erweiterbar","macOS 26","€ 3098,98","€ 4013,00","https://geizhals.at/apple-macbook-pro-16-2-mgec4d-a-a3750089.html"
